sigma_between,condition,trial,gap_fraction,G_achieved,G_random,G_oracle
0.00,D,18,1.000000,1.092613,0.867307,1.092613
0.00,Z,19,0.000000,0.728314,0.867307,1.092613
0.00,A,19,0.755419,1.037507,0.867307,1.092613
0.00,C_CN,19,0.755419,1.037507,0.867307,1.092613
0.00,C_PP,19,0.755419,1.037507,0.867307,1.092613
0.00,D,19,1.000000,1.092613,0.867307,1.092613
0.00,Z,20,0.235695,0.920411,0.867307,1.092613
0.00,A,20,0.755419,1.037507,0.867307,1.092613
0.00,C_CN,20,0.755419,1.037507,0.867307,1.092613
0.00,C_PP,20,0.755419,1.037507,0.867307,1.092613
0.00,D,20,1.000000,1.092613,0.867307,1.092613
0.00,Z,21,0.000000,0.842494,0.867307,1.092613
0.00,A,21,0.755419,1.037507,0.867307,1.092613
0.00,C_CN,21,0.755419,1.037507,0.867307,1.092613
0.00,C_PP,21,0.755419,1.037507,0.867307,1.092613
0.00,D,21,1.000000,1.092613,0.867307,1.092613
0.00,Z,22,0.276499,0.929604,0.867307,1.092613
0.00,A,22,0.755419,1.037507,0.867307,1.092613
0.00,C_CN,22,0.755419,1.037507,0.867307,1.092613
0.00,C_PP,22,0.755419,1.037507,0.867307,1.092613
0.00,D,22,1.000000,1.092613,0.867307,1.092613
0.00,Z,23,0.276499,0.929604,0.867307,1.092613
0.00,A,23,0.755419,1.037507,0.867307,1.092613
0.00,C_CN,23,0.755419,1.037507,0.867307,1.092613
0.00,C_PP,23,0.755419,1.037507,0.867307,1.092613
0.00,D,23,1.000000,1.092613,0.867307,1.092613
0.00,Z,24,0.235695,0.920411,0.867307,1.092613
0.00,A,24,0.755419,1.037507,0.867307,1.092613
0.00,C_CN,24,0.755419,1.037507,0.867307,1.092613
0.00,C_PP,24,0.755419,1.037507,0.867307,1.092613
0.00,D,24,1.000000,1.092613,0.867307,1.092613
0.00,Z,25,0.276499,0.929604,0.867307,1.092613
0.00,A,25,0.755419,1.037507,0.867307,1.092613
0.00,C_CN,25,0.755419,1.037507,0.867307,1.092613
0.00,C_PP,25,0.755419,1.037507,0.867307,1.092613
0.00,D,25,1.000000,1.092613,0.867307,1.092613
0.00,Z,26,0.755419,1.037507,0.867307,1.092613
0.00,A,26,0.755419,1.037507,0.867307,1.092613
0.00,C_CN,26,0.755419,1.037507,0.867307,1.092613
0.00,C_PP,26,0.755419,1.037507,0.867307,1.092613
0.00,D,26,1.000000,1.092613,0.867307,1.092613
0.00,Z,27,0.000000,0.746701,0.867307,1.092613
0.00,A,27,0.755419,1.037507,0.867307,1.092613
0.00,C_CN,27,0.755419,1.037507,0.867307,1.092613
0.00,C_PP,27,0.755419,1.037507,0.867307,1.092613
0.00,D,27,1.000000,1.092613,0.867307,1.092613
0.00,Z,28,0.165107,0.904507,0.867307,1.092613
0.00,A,28,0.755419,1.037507,0.867307,1.092613
0.00,C_CN,28,0.755419,1.037507,0.867307,1.092613
