distribution,spillover_config,condition,trial,gap_fraction,G_achieved,G_random,G_oracle,n_attacked_bundles
P5,centrist,C_CN_ADV,7,0.723781,0.898295,0.728095,0.963249,4
P5,centrist,C_PP,7,0.723781,0.898295,0.728095,0.963249,4
P5,centrist,C_PP_ADV,7,0.278967,0.793695,0.728095,0.963249,4
P5,centrist,D,7,1.000000,0.963249,0.728095,0.963249,4
P5,centrist,Z,8,0.000000,0.582494,0.728095,0.963249,4
P5,centrist,A,8,0.000000,0.582494,0.728095,0.963249,4
P5,centrist,C_CN,8,0.723781,0.898295,0.728095,0.963249,4
P5,centrist,C_CN_ADV,8,0.091733,0.749666,0.728095,0.963249,4
P5,centrist,C_PP,8,0.723781,0.898295,0.728095,0.963249,4
P5,centrist,C_PP_ADV,8,0.278967,0.793695,0.728095,0.963249,4
P5,centrist,D,8,1.000000,0.963249,0.728095,0.963249,4
P5,centrist,Z,9,0.211775,0.777894,0.728095,0.963249,5
P5,centrist,A,9,0.000000,0.582494,0.728095,0.963249,5
P5,centrist,C_CN,9,0.723781,0.898295,0.728095,0.963249,5
P5,centrist,C_CN_ADV,9,0.325715,0.804688,0.728095,0.963249,5
P5,centrist,C_PP,9,0.723781,0.898295,0.728095,0.963249,5
P5,centrist,C_PP_ADV,9,0.278967,0.793695,0.728095,0.963249,5
P5,centrist,D,9,1.000000,0.963249,0.728095,0.963249,5
P5,centrist,Z,10,0.258822,0.788958,0.728095,0.963249,4
P5,centrist,A,10,0.000000,0.582494,0.728095,0.963249,4
P5,centrist,C_CN,10,0.723781,0.898295,0.728095,0.963249,4
P5,centrist,C_CN_ADV,10,0.226641,0.781390,0.728095,0.963249,4
P5,centrist,C_PP,10,0.723781,0.898295,0.728095,0.963249,4
P5,centrist,C_PP_ADV,10,0.278967,0.793695,0.728095,0.963249,4
P5,centrist,D,10,1.000000,0.963249,0.728095,0.963249,4
P5,centrist,Z,11,0.000000,0.614095,0.728095,0.963249,4
P5,centrist,A,11,0.000000,0.582494,0.728095,0.963249,4
P5,centrist,C_CN,11,0.723781,0.898295,0.728095,0.963249,4
P5,centrist,C_CN_ADV,11,0.723781,0.898295,0.728095,0.963249,4
P5,centrist,C_PP,11,0.723781,0.898295,0.728095,0.963249,4
P5,centrist,C_PP_ADV,11,0.278967,0.793695,0.728095,0.963249,4
P5,centrist,D,11,1.000000,0.963249,0.728095,0.963249,4
P5,centrist,Z,12,0.000000,0.694339,0.728095,0.963249,4
P5,centrist,A,12,0.000000,0.582494,0.728095,0.963249,4
P5,centrist,C_CN,12,0.723781,0.898295,0.728095,0.963249,4
P5,centrist,C_CN_ADV,12,0.723781,0.898295,0.728095,0.963249,4
P5,centrist,C_PP,12,0.723781,0.898295,0.728095,0.963249,4
P5,centrist,C_PP_ADV,12,0.278967,0.793695,0.728095,0.963249,4
P5,centrist,D,12,1.000000,0.963249,0.728095,0.963249,4
P5,centrist,Z,13,0.172329,0.768619,0.728095,0.963249,4
P5,centrist,A,13,0.000000,0.582494,0.728095,0.963249,4
P5,centrist,C_CN,13,0.723781,0.898295,0.728095,0.963249,4
P5,centrist,C_CN_ADV,13,0.314385,0.802024,0.728095,0.963249,4
P5,centrist,C_PP,13,0.723781,0.898295,0.728095,0.963249,4
