mag_id,magnitude,base_cfg,condition,trial,gap_fraction,G_achieved,G_random,G_oracle
S1,0.01,centrist,C_CN,39,0.944799,0.959681,0.825881,0.967498
S1,0.01,centrist,C_PP,39,0.944799,0.959681,0.825881,0.967498
S1,0.01,centrist,D,39,1.000000,0.967498,0.825881,0.967498
S1,0.01,centrist,Z,40,0.473435,0.892928,0.825881,0.967498
S1,0.01,centrist,A,40,0.473435,0.892928,0.825881,0.967498
S1,0.01,centrist,C_CN,40,0.944799,0.959681,0.825881,0.967498
S1,0.01,centrist,C_PP,40,0.944799,0.959681,0.825881,0.967498
S1,0.01,centrist,D,40,1.000000,0.967498,0.825881,0.967498
S1,0.01,centrist,Z,41,0.000000,0.688188,0.825881,0.967498
S1,0.01,centrist,A,41,0.473435,0.892928,0.825881,0.967498
S1,0.01,centrist,C_CN,41,0.944799,0.959681,0.825881,0.967498
S1,0.01,centrist,C_PP,41,0.944799,0.959681,0.825881,0.967498
S1,0.01,centrist,D,41,1.000000,0.967498,0.825881,0.967498
S1,0.01,centrist,Z,42,0.000000,0.789284,0.825881,0.967498
S1,0.01,centrist,A,42,0.473435,0.892928,0.825881,0.967498
S1,0.01,centrist,C_CN,42,0.944799,0.959681,0.825881,0.967498
S1,0.01,centrist,C_PP,42,0.944799,0.959681,0.825881,0.967498
S1,0.01,centrist,D,42,1.000000,0.967498,0.825881,0.967498
S1,0.01,centrist,Z,43,0.473435,0.892928,0.825881,0.967498
S1,0.01,centrist,A,43,0.473435,0.892928,0.825881,0.967498
S1,0.01,centrist,C_CN,43,0.944799,0.959681,0.825881,0.967498
S1,0.01,centrist,C_PP,43,0.944799,0.959681,0.825881,0.967498
S1,0.01,centrist,D,43,1.000000,0.967498,0.825881,0.967498
S1,0.01,centrist,Z,44,0.000000,0.688188,0.825881,0.967498
S1,0.01,centrist,A,44,0.473435,0.892928,0.825881,0.967498
S1,0.01,centrist,C_CN,44,0.944799,0.959681,0.825881,0.967498
S1,0.01,centrist,C_PP,44,0.944799,0.959681,0.825881,0.967498
S1,0.01,centrist,D,44,1.000000,0.967498,0.825881,0.967498
S1,0.01,centrist,Z,45,0.392278,0.881434,0.825881,0.967498
S1,0.01,centrist,A,45,0.473435,0.892928,0.825881,0.967498
S1,0.01,centrist,C_CN,45,0.944799,0.959681,0.825881,0.967498
S1,0.01,centrist,C_PP,45,0.944799,0.959681,0.825881,0.967498
S1,0.01,centrist,D,45,1.000000,0.967498,0.825881,0.967498
S1,0.01,centrist,Z,46,0.000000,0.711174,0.825881,0.967498
S1,0.01,centrist,A,46,0.473435,0.892928,0.825881,0.967498
S1,0.01,centrist,C_CN,46,0.944799,0.959681,0.825881,0.967498
S1,0.01,centrist,C_PP,46,0.944799,0.959681,0.825881,0.967498
S1,0.01,centrist,D,46,1.000000,0.967498,0.825881,0.967498
S1,0.01,centrist,Z,47,0.138605,0.845510,0.825881,0.967498
S1,0.01,centrist,A,47,0.473435,0.892928,0.825881,0.967498
S1,0.01,centrist,C_CN,47,0.944799,0.959681,0.825881,0.967498
S1,0.01,centrist,C_PP,47,0.944799,0.959681,0.825881,0.967498
S1,0.01,centrist,D,47,1.000000,0.967498,0.825881,0.967498
S1,0.01,centrist,Z,48,0.944799,0.959681,0.825881,0.967498
S1,0.01,centrist,A,48,0.473435,0.892928,0.825881,0.967498
S1,0.01,centrist,C_CN,48,0.944799,0.959681,0.825881,0.967498
S1,0.01,centrist,C_PP,48,0.944799,0.959681,0.825881,0.967498
S1,0.01,centrist,D,48,1.000000,0.967498,0.825881,0.967498
S1,0.01,centrist,Z,49,0.000000,0.711174,0.825881,0.967498
S1,0.01,centrist,A,49,0.473435,0.892928,0.825881,0.967498
S1,0.01,centrist,C_CN,49,0.944799,0.959681,0.825881,0.967498
S1,0.01,centrist,C_PP,49,0.944799,0.959681,0.825881,0.967498
S1,0.01,centrist,D,49,1.000000,0.967498,0.825881,0.967498
S2,0.05,centrist,Z,0,0.242377,0.892928,0.830681,1.087498
S2,0.05,centrist,A,0,0.242377,0.892928,0.830681,1.087498
S2,0.05,centrist,C_CN,0,0.658055,0.999681,0.830681,1.087498
S2,0.05,centrist,C_PP,0,0.658055,0.999681,0.830681,1.087498
S2,0.05,centrist,D,0,1.000000,1.087498,0.830681,1.087498
S2,0.05,centrist,Z,1,0.000000,0.711174,0.830681,1.087498
S2,0.05,centrist,A,1,0.242377,0.892928,0.830681,1.087498
S2,0.05,centrist,C_CN,1,0.658055,0.999681,0.830681,1.087498
S2,0.05,centrist,C_PP,1,0.658055,0.999681,0.830681,1.087498
S2,0.05,centrist,D,1,1.000000,1.087498,0.830681,1.087498
S2,0.05,centrist,Z,2,0.000000,0.789154,0.830681,1.087498
S2,0.05,centrist,A,2,0.242377,0.892928,0.830681,1.087498
S2,0.05,centrist,C_CN,2,0.658055,0.999681,0.830681,1.087498
S2,0.05,centrist,C_PP,2,0.658055,0.999681,0.830681,1.087498
S2,0.05,centrist,D,2,1.000000,1.087498,0.830681,1.087498
S2,0.05,centrist,Z,3,0.000000,0.688188,0.830681,1.087498
S2,0.05,centrist,A,3,0.242377,0.892928,0.830681,1.087498
S2,0.05,centrist,C_CN,3,0.658055,0.999681,0.830681,1.087498
S2,0.05,centrist,C_PP,3,0.658055,0.999681,0.830681,1.087498
S2,0.05,centrist,D,3,1.000000,1.087498,0.830681,1.087498
S2,0.05,centrist,Z,4,0.000000,0.711174,0.830681,1.087498
S2,0.05,centrist,A,4,0.242377,0.892928,0.830681,1.087498
S2,0.05,centrist,C_CN,4,0.658055,0.999681,0.830681,1.087498
S2,0.05,centrist,C_PP,4,0.658055,0.999681,0.830681,1.087498
S2,0.05,centrist,D,4,1.000000,1.087498,0.830681,1.087498
S2,0.05,centrist,Z,5,0.242377,0.892928,0.830681,1.087498
S2,0.05,centrist,A,5,0.242377,0.892928,0.830681,1.087498
S2,0.05,centrist,C_CN,5,0.658055,0.999681,0.830681,1.087498
S2,0.05,centrist,C_PP,5,0.658055,0.999681,0.830681,1.087498
S2,0.05,centrist,D,5,1.000000,1.087498,0.830681,1.087498
S2,0.05,centrist,Z,6,0.000000,0.711174,0.830681,1.087498
S2,0.05,centrist,A,6,0.242377,0.892928,0.830681,1.087498
S2,0.05,centrist,C_CN,6,0.658055,0.999681,0.830681,1.087498
S2,0.05,centrist,C_PP,6,0.658055,0.999681,0.830681,1.087498
S2,0.05,centrist,D,6,1.000000,1.087498,0.830681,1.087498
S2,0.05,centrist,Z,7,0.197624,0.881434,0.830681,1.087498
S2,0.05,centrist,A,7,0.242377,0.892928,0.830681,1.087498
S2,0.05,centrist,C_CN,7,0.658055,0.999681,0.830681,1.087498
S2,0.05,centrist,C_PP,7,0.658055,0.999681,0.830681,1.087498
S2,0.05,centrist,D,7,1.000000,1.087498,0.830681,1.087498
S2,0.05,centrist,Z,8,0.197624,0.881434,0.830681,1.087498
S2,0.05,centrist,A,8,0.242377,0.892928,0.830681,1.087498
S2,0.05,centrist,C_CN,8,0.658055,0.999681,0.830681,1.087498
S2,0.05,centrist,C_PP,8,0.658055,0.999681,0.830681,1.087498
S2,0.05,centrist,D,8,1.000000,1.087498,0.830681,1.087498
S2,0.05,centrist,Z,9,0.658055,0.999681,0.830681,1.087498
S2,0.05,centrist,A,9,0.242377,0.892928,0.830681,1.087498
S2,0.05,centrist,C_CN,9,0.658055,0.999681,0.830681,1.087498
S2,0.05,centrist,C_PP,9,0.658055,0.999681,0.830681,1.087498
S2,0.05,centrist,D,9,1.000000,1.087498,0.830681,1.087498
S2,0.05,centrist,Z,10,0.197624,0.881434,0.830681,1.087498
S2,0.05,centrist,A,10,0.242377,0.892928,0.830681,1.087498
S2,0.05,centrist,C_CN,10,0.658055,0.999681,0.830681,1.087498
S2,0.05,centrist,C_PP,10,0.658055,0.999681,0.830681,1.087498
S2,0.05,centrist,D,10,1.000000,1.087498,0.830681,1.087498
S2,0.05,centrist,Z,11,0.000000,0.711174,0.830681,1.087498
S2,0.05,centrist,A,11,0.242377,0.892928,0.830681,1.087498
S2,0.05,centrist,C_CN,11,0.658055,0.999681,0.830681,1.087498
S2,0.05,centrist,C_PP,11,0.658055,0.999681,0.830681,1.087498
S2,0.05,centrist,D,11,1.000000,1.087498,0.830681,1.087498
S2,0.05,centrist,Z,12,0.000000,0.688188,0.830681,1.087498
S2,0.05,centrist,A,12,0.242377,0.892928,0.830681,1.087498
S2,0.05,centrist,C_CN,12,0.658055,0.999681,0.830681,1.087498
S2,0.05,centrist,C_PP,12,0.658055,0.999681,0.830681,1.087498
S2,0.05,centrist,D,12,1.000000,1.087498,0.830681,1.087498
S2,0.05,centrist,Z,13,0.242377,0.892928,0.830681,1.087498
S2,0.05,centrist,A,13,0.242377,0.892928,0.830681,1.087498
S2,0.05,centrist,C_CN,13,0.658055,0.999681,0.830681,1.087498
S2,0.05,centrist,C_PP,13,0.658055,0.999681,0.830681,1.087498
S2,0.05,centrist,D,13,1.000000,1.087498,0.830681,1.087498
S2,0.05,centrist,Z,14,0.658055,0.999681,0.830681,1.087498
S2,0.05,centrist,A,14,0.242377,0.892928,0.830681,1.087498
S2,0.05,centrist,C_CN,14,0.658055,0.999681,0.830681,1.087498
S2,0.05,centrist,C_PP,14,0.658055,0.999681,0.830681,1.087498
S2,0.05,centrist,D,14,1.000000,1.087498,0.830681,1.087498
S2,0.05,centrist,Z,15,0.000000,0.743062,0.830681,1.087498
S2,0.05,centrist,A,15,0.242377,0.892928,0.830681,1.087498
S2,0.05,centrist,C_CN,15,0.658055,0.999681,0.830681,1.087498
S2,0.05,centrist,C_PP,15,0.658055,0.999681,0.830681,1.087498
S2,0.05,centrist,D,15,1.000000,1.087498,0.830681,1.087498
S2,0.05,centrist,Z,16,0.005927,0.832203,0.830681,1.087498
S2,0.05,centrist,A,16,0.242377,0.892928,0.830681,1.087498
S2,0.05,centrist,C_CN,16,0.658055,0.999681,0.830681,1.087498
S2,0.05,centrist,C_PP,16,0.658055,0.999681,0.830681,1.087498
