K,slate_type,spillover_config,condition,trial,gap_fraction,G_achieved,G_random,G_oracle
5,archetype,centrist,C_PP,14,0.746434,0.999681,0.829481,1.057498
5,archetype,centrist,D,14,1.000000,1.057498,0.829481,1.057498
5,archetype,centrist,Z,15,0.227848,0.881434,0.829481,1.057498
5,archetype,centrist,A,15,0.278253,0.892928,0.829481,1.057498
5,archetype,centrist,C_CN,15,0.746434,0.999681,0.829481,1.057498
5,archetype,centrist,C_PP,15,0.746434,0.999681,0.829481,1.057498
5,archetype,centrist,D,15,1.000000,1.057498,0.829481,1.057498
5,archetype,centrist,Z,16,0.746434,0.999681,0.829481,1.057498
5,archetype,centrist,A,16,0.278253,0.892928,0.829481,1.057498
5,archetype,centrist,C_CN,16,0.746434,0.999681,0.829481,1.057498
5,archetype,centrist,C_PP,16,0.746434,0.999681,0.829481,1.057498
5,archetype,centrist,D,16,1.000000,1.057498,0.829481,1.057498
5,archetype,centrist,Z,17,0.000000,0.711174,0.829481,1.057498
5,archetype,centrist,A,17,0.278253,0.892928,0.829481,1.057498
5,archetype,centrist,C_CN,17,0.746434,0.999681,0.829481,1.057498
5,archetype,centrist,C_PP,17,0.746434,0.999681,0.829481,1.057498
5,archetype,centrist,D,17,1.000000,1.057498,0.829481,1.057498
5,archetype,centrist,Z,18,0.227848,0.881434,0.829481,1.057498
5,archetype,centrist,A,18,0.278253,0.892928,0.829481,1.057498
5,archetype,centrist,C_CN,18,0.746434,0.999681,0.829481,1.057498
5,archetype,centrist,C_PP,18,0.746434,0.999681,0.829481,1.057498
5,archetype,centrist,D,18,1.000000,1.057498,0.829481,1.057498
5,archetype,centrist,Z,19,0.000000,0.688188,0.829481,1.057498
5,archetype,centrist,A,19,0.278253,0.892928,0.829481,1.057498
5,archetype,centrist,C_CN,19,0.746434,0.999681,0.829481,1.057498
5,archetype,centrist,C_PP,19,0.746434,0.999681,0.829481,1.057498
5,archetype,centrist,D,19,1.000000,1.057498,0.829481,1.057498
5,archetype,centrist,Z,20,0.227848,0.881434,0.829481,1.057498
5,archetype,centrist,A,20,0.278253,0.892928,0.829481,1.057498
5,archetype,centrist,C_CN,20,0.746434,0.999681,0.829481,1.057498
5,archetype,centrist,C_PP,20,0.746434,0.999681,0.829481,1.057498
5,archetype,centrist,D,20,1.000000,1.057498,0.829481,1.057498
5,archetype,centrist,Z,21,0.227848,0.881434,0.829481,1.057498
5,archetype,centrist,A,21,0.278253,0.892928,0.829481,1.057498
5,archetype,centrist,C_CN,21,0.746434,0.999681,0.829481,1.057498
5,archetype,centrist,C_PP,21,0.746434,0.999681,0.829481,1.057498
5,archetype,centrist,D,21,1.000000,1.057498,0.829481,1.057498
5,archetype,centrist,Z,22,0.227848,0.881434,0.829481,1.057498
5,archetype,centrist,A,22,0.278253,0.892928,0.829481,1.057498
5,archetype,centrist,C_CN,22,0.746434,0.999681,0.829481,1.057498
5,archetype,centrist,C_PP,22,0.746434,0.999681,0.829481,1.057498
5,archetype,centrist,D,22,1.000000,1.057498,0.829481,1.057498
5,archetype,centrist,Z,23,0.746434,0.999681,0.829481,1.057498
5,archetype,centrist,A,23,0.278253,0.892928,0.829481,1.057498
5,archetype,centrist,C_CN,23,0.746434,0.999681,0.829481,1.057498
5,archetype,centrist,C_PP,23,0.746434,0.999681,0.829481,1.057498
5,archetype,centrist,D,23,1.000000,1.057498,0.829481,1.057498
5,archetype,centrist,Z,24,0.278253,0.892928,0.829481,1.057498
5,archetype,centrist,A,24,0.278253,0.892928,0.829481,1.057498
5,archetype,centrist,C_CN,24,0.746434,0.999681,0.829481,1.057498
5,archetype,centrist,C_PP,24,0.746434,0.999681,0.829481,1.057498
5,archetype,centrist,D,24,1.000000,1.057498,0.829481,1.057498
5,archetype,centrist,Z,25,0.278253,0.892928,0.829481,1.057498
5,archetype,centrist,A,25,0.278253,0.892928,0.829481,1.057498
5,archetype,centrist,C_CN,25,0.746434,0.999681,0.829481,1.057498
5,archetype,centrist,C_PP,25,0.746434,0.999681,0.829481,1.057498
5,archetype,centrist,D,25,1.000000,1.057498,0.829481,1.057498
5,archetype,centrist,Z,26,0.227848,0.881434,0.829481,1.057498
5,archetype,centrist,A,26,0.278253,0.892928,0.829481,1.057498
5,archetype,centrist,C_CN,26,0.746434,0.999681,0.829481,1.057498
5,archetype,centrist,C_PP,26,0.746434,0.999681,0.829481,1.057498
5,archetype,centrist,D,26,1.000000,1.057498,0.829481,1.057498
5,archetype,centrist,Z,27,0.278253,0.892928,0.829481,1.057498
5,archetype,centrist,A,27,0.278253,0.892928,0.829481,1.057498
5,archetype,centrist,C_CN,27,0.746434,0.999681,0.829481,1.057498
5,archetype,centrist,C_PP,27,0.746434,0.999681,0.829481,1.057498
5,archetype,centrist,D,27,1.000000,1.057498,0.829481,1.057498
5,archetype,centrist,Z,28,0.000000,0.688188,0.829481,1.057498
5,archetype,centrist,A,28,0.278253,0.892928,0.829481,1.057498
5,archetype,centrist,C_CN,28,0.746434,0.999681,0.829481,1.057498
5,archetype,centrist,C_PP,28,0.746434,0.999681,0.829481,1.057498
5,archetype,centrist,D,28,1.000000,1.057498,0.829481,1.057498
5,archetype,centrist,Z,29,0.000000,0.711174,0.829481,1.057498
5,archetype,centrist,A,29,0.278253,0.892928,0.829481,1.057498
5,archetype,centrist,C_CN,29,0.746434,0.999681,0.829481,1.057498
5,archetype,centrist,C_PP,29,0.746434,0.999681,0.829481,1.057498
5,archetype,centrist,D,29,1.000000,1.057498,0.829481,1.057498
5,archetype,centrist,Z,30,0.000000,0.711174,0.829481,1.057498
5,archetype,centrist,A,30,0.278253,0.892928,0.829481,1.057498
