spillover_config,condition,trial,gap_fraction,G_achieved,G_random,G_oracle,n_llm_calls,cache_hit_rate
centrist,C_CN,14,0.447386,0.936470,0.840460,1.055062,40,0.7143
centrist,A,15,0.231263,0.890089,0.840460,1.055062,40,0.7143
centrist,C_CN,15,0.231263,0.890089,0.840460,1.055062,40,0.7143
centrist,A,16,0.231263,0.890089,0.840460,1.055062,40,0.7143
centrist,C_CN,16,0.231263,0.890089,0.840460,1.055062,40,0.7143
centrist,A,17,0.231263,0.890089,0.840460,1.055062,40,0.7143
centrist,C_CN,17,0.103352,0.862639,0.840460,1.055062,40,0.7143
centrist,A,18,0.231263,0.890089,0.840460,1.055062,40,0.7143
centrist,C_CN,18,0.231263,0.890089,0.840460,1.055062,40,0.7143
centrist,A,19,0.097765,0.861440,0.840460,1.055062,40,0.7143
centrist,C_CN,19,0.000000,0.694519,0.840460,1.055062,40,0.7143
centrist,A,20,0.231263,0.890089,0.840460,1.055062,40,0.7143
centrist,C_CN,20,0.231263,0.890089,0.840460,1.055062,40,0.7143
centrist,A,21,0.231263,0.890089,0.840460,1.055062,40,0.7143
centrist,C_CN,21,0.231263,0.890089,0.840460,1.055062,40,0.7143
centrist,A,22,0.231263,0.890089,0.840460,1.055062,40,0.7143
centrist,C_CN,22,0.231263,0.890089,0.840460,1.055062,40,0.7143
centrist,A,23,0.231263,0.890089,0.840460,1.055062,40,0.7143
centrist,C_CN,23,0.000000,0.694519,0.840460,1.055062,40,0.7143
centrist,A,24,0.231263,0.890089,0.840460,1.055062,40,0.7143
centrist,C_CN,24,0.231263,0.890089,0.840460,1.055062,40,0.7143
centrist,A,25,0.004540,0.841434,0.840460,1.055062,40,0.7143
centrist,C_CN,25,0.004540,0.841434,0.840460,1.055062,40,0.7143
centrist,A,26,0.231263,0.890089,0.840460,1.055062,40,0.7143
centrist,C_CN,26,0.000000,0.694519,0.840460,1.055062,40,0.7143
centrist,A,27,0.433296,0.933446,0.840460,1.055062,40,0.7143
centrist,C_CN,27,0.433296,0.933446,0.840460,1.055062,40,0.7143
