spillover_config,condition,trial,gap_fraction,G_achieved,G_random,G_oracle
centrist,Z,11,0.201286,0.869881,0.825029,1.047857
centrist,A,11,0.763819,0.995229,0.825029,1.047857
centrist,C_CN,11,0.763819,0.995229,0.825029,1.047857
centrist,C_PP,11,0.763819,0.995229,0.825029,1.047857
centrist,D,11,1.000000,1.047857,0.825029,1.047857
centrist,Z,12,0.763819,0.995229,0.825029,1.047857
centrist,A,12,0.763819,0.995229,0.825029,1.047857
centrist,C_CN,12,0.763819,0.995229,0.825029,1.047857
centrist,C_PP,12,0.763819,0.995229,0.825029,1.047857
centrist,D,12,1.000000,1.047857,0.825029,1.047857
centrist,Z,13,0.000000,0.800951,0.825029,1.047857
centrist,A,13,0.763819,0.995229,0.825029,1.047857
centrist,C_CN,13,0.763819,0.995229,0.825029,1.047857
centrist,C_PP,13,0.763819,0.995229,0.825029,1.047857
centrist,D,13,1.000000,1.047857,0.825029,1.047857
centrist,Z,14,0.000000,0.669533,0.825029,1.047857
centrist,A,14,0.763819,0.995229,0.825029,1.047857
centrist,C_CN,14,0.763819,0.995229,0.825029,1.047857
centrist,C_PP,14,0.763819,0.995229,0.825029,1.047857
centrist,D,14,1.000000,1.047857,0.825029,1.047857
centrist,Z,15,0.000000,0.805770,0.825029,1.047857
centrist,A,15,0.763819,0.995229,0.825029,1.047857
centrist,C_CN,15,0.763819,0.995229,0.825029,1.047857
centrist,C_PP,15,0.763819,0.995229,0.825029,1.047857
centrist,D,15,1.000000,1.047857,0.825029,1.047857
centrist,Z,16,0.001252,0.825308,0.825029,1.047857
centrist,A,16,0.763819,0.995229,0.825029,1.047857
centrist,C_CN,16,0.763819,0.995229,0.825029,1.047857
centrist,C_PP,16,0.763819,0.995229,0.825029,1.047857
centrist,D,16,1.000000,1.047857,0.825029,1.047857
centrist,Z,17,0.000000,0.749908,0.825029,1.047857
centrist,A,17,0.763819,0.995229,0.825029,1.047857
centrist,C_CN,17,0.763819,0.995229,0.825029,1.047857
centrist,C_PP,17,0.763819,0.995229,0.825029,1.047857
centrist,D,17,1.000000,1.047857,0.825029,1.047857
centrist,Z,18,0.316603,0.895577,0.825029,1.047857
centrist,A,18,0.763819,0.995229,0.825029,1.047857
centrist,C_CN,18,0.763819,0.995229,0.825029,1.047857
centrist,C_PP,18,0.763819,0.995229,0.825029,1.047857
centrist,D,18,1.000000,1.047857,0.825029,1.047857
centrist,Z,19,0.763819,0.995229,0.825029,1.047857
centrist,A,19,0.763819,0.995229,0.825029,1.047857
centrist,C_CN,19,0.763819,0.995229,0.825029,1.047857
centrist,C_PP,19,0.763819,0.995229,0.825029,1.047857
centrist,D,19,1.000000,1.047857,0.825029,1.047857
centrist,Z,20,0.316603,0.895577,0.825029,1.047857
centrist,A,20,0.763819,0.995229,0.825029,1.047857
centrist,C_CN,20,0.763819,0.995229,0.825029,1.047857
centrist,C_PP,20,0.763819,0.995229,0.825029,1.047857
centrist,D,20,1.000000,1.047857,0.825029,1.047857
centrist,Z,21,0.000000,0.720925,0.825029,1.047857
centrist,A,21,0.763819,0.995229,0.825029,1.047857
centrist,C_CN,21,0.763819,0.995229,0.825029,1.047857
centrist,C_PP,21,0.763819,0.995229,0.825029,1.047857
centrist,D,21,1.000000,1.047857,0.825029,1.047857
centrist,Z,22,0.316603,0.895577,0.825029,1.047857
centrist,A,22,0.763819,0.995229,0.825029,1.047857
centrist,C_CN,22,0.763819,0.995229,0.825029,1.047857
centrist,C_PP,22,0.763819,0.995229,0.825029,1.047857
centrist,D,22,1.000000,1.047857,0.825029,1.047857
centrist,Z,23,0.000000,0.720925,0.825029,1.047857
centrist,A,23,0.763819,0.995229,0.825029,1.047857
centrist,C_CN,23,0.763819,0.995229,0.825029,1.047857
centrist,C_PP,23,0.763819,0.995229,0.825029,1.047857
centrist,D,23,1.000000,1.047857,0.825029,1.047857
centrist,Z,24,0.201286,0.869881,0.825029,1.047857
centrist,A,24,0.763819,0.995229,0.825029,1.047857
centrist,C_CN,24,0.763819,0.995229,0.825029,1.047857
centrist,C_PP,24,0.763819,0.995229,0.825029,1.047857
centrist,D,24,1.000000,1.047857,0.825029,1.047857
centrist,Z,25,0.000000,0.669533,0.825029,1.047857
centrist,A,25,0.763819,0.995229,0.825029,1.047857
centrist,C_CN,25,0.763819,0.995229,0.825029,1.047857
centrist,C_PP,25,0.763819,0.995229,0.825029,1.047857
centrist,D,25,1.000000,1.047857,0.825029,1.047857
centrist,Z,26,0.000000,0.720925,0.825029,1.047857
centrist,A,26,0.763819,0.995229,0.825029,1.047857
centrist,C_CN,26,0.763819,0.995229,0.825029,1.047857
centrist,C_PP,26,0.763819,0.995229,0.825029,1.047857
centrist,D,26,1.000000,1.047857,0.825029,1.047857
centrist,Z,27,0.201286,0.869881,0.825029,1.047857
centrist,A,27,0.763819,0.995229,0.825029,1.047857
centrist,C_CN,27,0.763819,0.995229,0.825029,1.047857
centrist,C_PP,27,0.763819,0.995229,0.825029,1.047857
centrist,D,27,1.000000,1.047857,0.825029,1.047857
centrist,Z,28,0.260880,0.883161,0.825029,1.047857
centrist,A,28,0.763819,0.995229,0.825029,1.047857
centrist,C_CN,28,0.763819,0.995229,0.825029,1.047857
centrist,C_PP,28,0.763819,0.995229,0.825029,1.047857
centrist,D,28,1.000000,1.047857,0.825029,1.047857
centrist,Z,29,0.000000,0.720925,0.825029,1.047857
centrist,A,29,0.763819,0.995229,0.825029,1.047857
centrist,C_CN,29,0.763819,0.995229,0.825029,1.047857
centrist,C_PP,29,0.763819,0.995229,0.825029,1.047857
centrist,D,29,1.000000,1.047857,0.825029,1.047857
centrist,Z,30,0.201286,0.869881,0.825029,1.047857
centrist,A,30,0.763819,0.995229,0.825029,1.047857
centrist,C_CN,30,0.763819,0.995229,0.825029,1.047857
centrist,C_PP,30,0.763819,0.995229,0.825029,1.047857
centrist,D,30,1.000000,1.047857,0.825029,1.047857
centrist,Z,31,0.228474,0.875940,0.825029,1.047857
centrist,A,31,0.763819,0.995229,0.825029,1.047857
centrist,C_CN,31,0.763819,0.995229,0.825029,1.047857
centrist,C_PP,31,0.763819,0.995229,0.825029,1.047857
centrist,D,31,1.000000,1.047857,0.825029,1.047857
centrist,Z,32,0.201286,0.869881,0.825029,1.047857
centrist,A,32,0.763819,0.995229,0.825029,1.047857
centrist,C_CN,32,0.763819,0.995229,0.825029,1.047857
centrist,C_PP,32,0.763819,0.995229,0.825029,1.047857
centrist,D,32,1.000000,1.047857,0.825029,1.047857
centrist,Z,33,0.000000,0.817102,0.825029,1.047857
centrist,A,33,0.763819,0.995229,0.825029,1.047857
centrist,C_CN,33,0.763819,0.995229,0.825029,1.047857
centrist,C_PP,33,0.763819,0.995229,0.825029,1.047857
centrist,D,33,1.000000,1.047857,0.825029,1.047857
centrist,Z,34,0.000000,0.720925,0.825029,1.047857
centrist,A,34,0.763819,0.995229,0.825029,1.047857
centrist,C_CN,34,0.763819,0.995229,0.825029,1.047857
centrist,C_PP,34,0.763819,0.995229,0.825029,1.047857
centrist,D,34,1.000000,1.047857,0.825029,1.047857
centrist,Z,35,0.000000,0.720925,0.825029,1.047857
centrist,A,35,0.763819,0.995229,0.825029,1.047857
centrist,C_CN,35,0.763819,0.995229,0.825029,1.047857
centrist,C_PP,35,0.763819,0.995229,0.825029,1.047857
centrist,D,35,1.000000,1.047857,0.825029,1.047857
centrist,Z,36,0.000000,0.782065,0.825029,1.047857
centrist,A,36,0.763819,0.995229,0.825029,1.047857
centrist,C_CN,36,0.763819,0.995229,0.825029,1.047857
centrist,C_PP,36,0.763819,0.995229,0.825029,1.047857
centrist,D,36,1.000000,1.047857,0.825029,1.047857
centrist,Z,37,0.000000,0.806395,0.825029,1.047857
centrist,A,37,0.763819,0.995229,0.825029,1.047857
centrist,C_CN,37,0.763819,0.995229,0.825029,1.047857
centrist,C_PP,37,0.763819,0.995229,0.825029,1.047857
centrist,D,37,1.000000,1.047857,0.825029,1.047857
centrist,Z,38,0.201286,0.869881,0.825029,1.047857
centrist,A,38,0.763819,0.995229,0.825029,1.047857
centrist,C_CN,38,0.763819,0.995229,0.825029,1.047857
centrist,C_PP,38,0.763819,0.995229,0.825029,1.047857
centrist,D,38,1.000000,1.047857,0.825029,1.047857
centrist,Z,39,0.000000,0.669533,0.825029,1.047857
centrist,A,39,0.763819,0.995229,0.825029,1.047857
centrist,C_CN,39,0.763819,0.995229,0.825029,1.047857
centrist,C_PP,39,0.763819,0.995229,0.825029,1.047857
centrist,D,39,1.000000,1.047857,0.825029,1.047857
centrist,Z,40,0.000000,0.720925,0.825029,1.047857
centrist,A,40,0.763819,0.995229,0.825029,1.047857
centrist,C_CN,40,0.763819,0.995229,0.825029,1.047857
centrist,C_PP,40,0.763819,0.995229,0.825029,1.047857
centrist,D,40,1.000000,1.047857,0.825029,1.047857
centrist,Z,41,0.000000,0.669533,0.825029,1.047857
centrist,A,41,0.763819,0.995229,0.825029,1.047857
centrist,C_CN,41,0.763819,0.995229,0.825029,1.047857
centrist,C_PP,41,0.763819,0.995229,0.825029,1.047857
centrist,D,41,1.000000,1.047857,0.825029,1.047857
centrist,Z,42,0.316603,0.895577,0.825029,1.047857
centrist,A,42,0.763819,0.995229,0.825029,1.047857
centrist,C_CN,42,0.763819,0.995229,0.825029,1.047857
centrist,C_PP,42,0.763819,0.995229,0.825029,1.047857
centrist,D,42,1.000000,1.047857,0.825029,1.047857
centrist,Z,43,0.000000,0.720925,0.825029,1.047857
centrist,A,43,0.763819,0.995229,0.825029,1.047857
centrist,C_CN,43,0.763819,0.995229,0.825029,1.047857
centrist,C_PP,43,0.763819,0.995229,0.825029,1.047857
centrist,D,43,1.000000,1.047857,0.825029,1.047857
centrist,Z,44,0.316603,0.895577,0.825029,1.047857
centrist,A,44,0.763819,0.995229,0.825029,1.047857
centrist,C_CN,44,0.763819,0.995229,0.825029,1.047857
centrist,C_PP,44,0.763819,0.995229,0.825029,1.047857
centrist,D,44,1.000000,1.047857,0.825029,1.047857
centrist,Z,45,0.763819,0.995229,0.825029,1.047857
centrist,A,45,0.763819,0.995229,0.825029,1.047857
centrist,C_CN,45,0.763819,0.995229,0.825029,1.047857
centrist,C_PP,45,0.763819,0.995229,0.825029,1.047857
centrist,D,45,1.000000,1.047857,0.825029,1.047857
centrist,Z,46,0.000000,0.669533,0.825029,1.047857
centrist,A,46,0.763819,0.995229,0.825029,1.047857
centrist,C_CN,46,0.763819,0.995229,0.825029,1.047857
centrist,C_PP,46,0.763819,0.995229,0.825029,1.047857
centrist,D,46,1.000000,1.047857,0.825029,1.047857
centrist,Z,47,0.763819,0.995229,0.825029,1.047857
centrist,A,47,0.763819,0.995229,0.825029,1.047857
centrist,C_CN,47,0.763819,0.995229,0.825029,1.047857
centrist,C_PP,47,0.763819,0.995229,0.825029,1.047857
centrist,D,47,1.000000,1.047857,0.825029,1.047857
centrist,Z,48,0.201286,0.869881,0.825029,1.047857
centrist,A,48,0.763819,0.995229,0.825029,1.047857
centrist,C_CN,48,0.763819,0.995229,0.825029,1.047857
centrist,C_PP,48,0.763819,0.995229,0.825029,1.047857
centrist,D,48,1.000000,1.047857,0.825029,1.047857
centrist,Z,49,0.316603,0.895577,0.825029,1.047857
centrist,A,49,0.763819,0.995229,0.825029,1.047857
centrist,C_CN,49,0.763819,0.995229,0.825029,1.047857
centrist,C_PP,49,0.763819,0.995229,0.825029,1.047857
centrist,D,49,1.000000,1.047857,0.825029,1.047857
off_axis,Z,0,0.241341,0.860349,0.825029,0.971378
off_axis,A,0,0.821324,0.945229,0.825029,0.971378
off_axis,C_CN,0,0.821324,0.945229,0.825029,0.971378
off_axis,C_PP,0,0.821324,0.945229,0.825029,0.971378
off_axis,D,0,1.000000,0.971378,0.825029,0.971378
off_axis,Z,1,0.821324,0.945229,0.825029,0.971378
off_axis,A,1,0.821324,0.945229,0.825029,0.971378
off_axis,C_CN,1,0.821324,0.945229,0.825029,0.971378
off_axis,C_PP,1,0.821324,0.945229,0.825029,0.971378
off_axis,D,1,1.000000,0.971378,0.825029,0.971378
off_axis,Z,2,0.306473,0.869881,0.825029,0.971378
off_axis,A,2,0.821324,0.945229,0.825029,0.971378
off_axis,C_CN,2,0.821324,0.945229,0.825029,0.971378
off_axis,C_PP,2,0.821324,0.945229,0.825029,0.971378
off_axis,D,2,1.000000,0.971378,0.825029,0.971378
off_axis,Z,3,0.000000,0.720925,0.825029,0.971378
off_axis,A,3,0.821324,0.945229,0.825029,0.971378
off_axis,C_CN,3,0.821324,0.945229,0.825029,0.971378
off_axis,C_PP,3,0.821324,0.945229,0.825029,0.971378
off_axis,D,3,1.000000,0.971378,0.825029,0.971378
off_axis,Z,4,0.482053,0.895577,0.825029,0.971378
off_axis,A,4,0.821324,0.945229,0.825029,0.971378
off_axis,C_CN,4,0.821324,0.945229,0.825029,0.971378
off_axis,C_PP,4,0.821324,0.945229,0.825029,0.971378
off_axis,D,4,1.000000,0.971378,0.825029,0.971378
off_axis,Z,5,0.000000,0.816122,0.825029,0.971378
off_axis,A,5,0.821324,0.945229,0.825029,0.971378
off_axis,C_CN,5,0.821324,0.945229,0.825029,0.971378
off_axis,C_PP,5,0.821324,0.945229,0.825029,0.971378
off_axis,D,5,1.000000,0.971378,0.825029,0.971378
off_axis,Z,6,0.000000,0.779887,0.825029,0.971378
off_axis,A,6,0.821324,0.945229,0.825029,0.971378
off_axis,C_CN,6,0.821324,0.945229,0.825029,0.971378
off_axis,C_PP,6,0.821324,0.945229,0.825029,0.971378
off_axis,D,6,1.000000,0.971378,0.825029,0.971378
off_axis,Z,7,0.172274,0.850241,0.825029,0.971378
off_axis,A,7,0.821324,0.945229,0.825029,0.971378
off_axis,C_CN,7,0.821324,0.945229,0.825029,0.971378
off_axis,C_PP,7,0.821324,0.945229,0.825029,0.971378
off_axis,D,7,1.000000,0.971378,0.825029,0.971378
off_axis,Z,8,0.821324,0.945229,0.825029,0.971378
off_axis,A,8,0.821324,0.945229,0.825029,0.971378
off_axis,C_CN,8,0.821324,0.945229,0.825029,0.971378
off_axis,C_PP,8,0.821324,0.945229,0.825029,0.971378
off_axis,D,8,1.000000,0.971378,0.825029,0.971378
off_axis,Z,9,0.482053,0.895577,0.825029,0.971378
off_axis,A,9,0.821324,0.945229,0.825029,0.971378
off_axis,C_CN,9,0.821324,0.945229,0.825029,0.971378
off_axis,C_PP,9,0.821324,0.945229,0.825029,0.971378
off_axis,D,9,1.000000,0.971378,0.825029,0.971378
off_axis,Z,10,0.000000,0.805803,0.825029,0.971378
off_axis,A,10,0.821324,0.945229,0.825029,0.971378
off_axis,C_CN,10,0.821324,0.945229,0.825029,0.971378
off_axis,C_PP,10,0.821324,0.945229,0.825029,0.971378
off_axis,D,10,1.000000,0.971378,0.825029,0.971378
off_axis,Z,11,0.306473,0.869881,0.825029,0.971378
off_axis,A,11,0.821324,0.945229,0.825029,0.971378
