dist_id,dist_label,spillover_config,condition,trial,gap_fraction,G_achieved,G_random,G_oracle,minority_welfare
P1,unimodal,centrist,D,5,1.000000,1.058737,0.832914,1.058737,0.858528
P1,unimodal,centrist,Z,6,0.753688,1.003114,0.832914,1.058737,0.876819
P1,unimodal,centrist,A,6,0.753688,1.003114,0.832914,1.058737,0.876819
P1,unimodal,centrist,C_CN,6,0.753688,1.003114,0.832914,1.058737,0.876819
P1,unimodal,centrist,C_PP,6,0.753688,1.003114,0.832914,1.058737,0.876819
P1,unimodal,centrist,D,6,1.000000,1.058737,0.832914,1.058737,0.858528
P1,unimodal,centrist,Z,7,0.000000,0.781595,0.832914,1.058737,0.687249
P1,unimodal,centrist,A,7,0.753688,1.003114,0.832914,1.058737,0.876819
P1,unimodal,centrist,C_CN,7,0.753688,1.003114,0.832914,1.058737,0.876819
P1,unimodal,centrist,C_PP,7,0.753688,1.003114,0.832914,1.058737,0.876819
P1,unimodal,centrist,D,7,1.000000,1.058737,0.832914,1.058737,0.858528
P1,unimodal,centrist,Z,8,0.000000,0.718550,0.832914,1.058737,0.353534
P1,unimodal,centrist,A,8,0.753688,1.003114,0.832914,1.058737,0.876819
P1,unimodal,centrist,C_CN,8,0.753688,1.003114,0.832914,1.058737,0.876819
P1,unimodal,centrist,C_PP,8,0.753688,1.003114,0.832914,1.058737,0.876819
P1,unimodal,centrist,D,8,1.000000,1.058737,0.832914,1.058737,0.858528
P1,unimodal,centrist,Z,9,0.221332,0.882896,0.832914,1.058737,0.698798
P1,unimodal,centrist,A,9,0.753688,1.003114,0.832914,1.058737,0.876819
P1,unimodal,centrist,C_CN,9,0.753688,1.003114,0.832914,1.058737,0.876819
P1,unimodal,centrist,C_PP,9,0.753688,1.003114,0.832914,1.058737,0.876819
P1,unimodal,centrist,D,9,1.000000,1.058737,0.832914,1.058737,0.858528
P1,unimodal,centrist,Z,10,0.000000,0.828089,0.832914,1.058737,0.707390
P1,unimodal,centrist,A,10,0.753688,1.003114,0.832914,1.058737,0.876819
P1,unimodal,centrist,C_CN,10,0.753688,1.003114,0.832914,1.058737,0.876819
P1,unimodal,centrist,C_PP,10,0.753688,1.003114,0.832914,1.058737,0.876819
P1,unimodal,centrist,D,10,1.000000,1.058737,0.832914,1.058737,0.858528
P1,unimodal,centrist,Z,11,0.753688,1.003114,0.832914,1.058737,0.876819
P1,unimodal,centrist,A,11,0.753688,1.003114,0.832914,1.058737,0.876819
P1,unimodal,centrist,C_CN,11,0.753688,1.003114,0.832914,1.058737,0.876819
P1,unimodal,centrist,C_PP,11,0.753688,1.003114,0.832914,1.058737,0.876819
P1,unimodal,centrist,D,11,1.000000,1.058737,0.832914,1.058737,0.858528
P1,unimodal,centrist,Z,12,0.753688,1.003114,0.832914,1.058737,0.876819
P1,unimodal,centrist,A,12,0.753688,1.003114,0.832914,1.058737,0.876819
P1,unimodal,centrist,C_CN,12,0.753688,1.003114,0.832914,1.058737,0.876819
P1,unimodal,centrist,C_PP,12,0.753688,1.003114,0.832914,1.058737,0.876819
P1,unimodal,centrist,D,12,1.000000,1.058737,0.832914,1.058737,0.858528
P1,unimodal,centrist,Z,13,0.289687,0.898332,0.832914,1.058737,0.692773
P1,unimodal,centrist,A,13,0.753688,1.003114,0.832914,1.058737,0.876819
P1,unimodal,centrist,C_CN,13,0.753688,1.003114,0.832914,1.058737,0.876819
P1,unimodal,centrist,C_PP,13,0.753688,1.003114,0.832914,1.058737,0.876819
P1,unimodal,centrist,D,13,1.000000,1.058737,0.832914,1.058737,0.858528
P1,unimodal,centrist,Z,14,0.000000,0.718550,0.832914,1.058737,0.353534
P1,unimodal,centrist,A,14,0.753688,1.003114,0.832914,1.058737,0.876819
P1,unimodal,centrist,C_CN,14,0.753688,1.003114,0.832914,1.058737,0.876819
P1,unimodal,centrist,C_PP,14,0.753688,1.003114,0.832914,1.058737,0.876819
