spillover_config,condition,trial,gap_fraction,G_achieved,G_random,G_oracle,n_attacked_bundles
centrist,D,11,1.000000,1.057498,0.829481,1.057498,4
centrist,Z,12,0.000000,0.790229,0.829481,1.057498,4
centrist,A,12,0.278253,0.892928,0.829481,1.057498,4
centrist,C_CN,12,0.746434,0.999681,0.829481,1.057498,4
centrist,C_CN_ADV,12,0.278253,0.892928,0.829481,1.057498,4
centrist,C_PP,12,0.746434,0.999681,0.829481,1.057498,4
centrist,C_PP_ADV,12,0.278253,0.892928,0.829481,1.057498,4
centrist,D,12,1.000000,1.057498,0.829481,1.057498,4
centrist,Z,13,0.206581,0.876585,0.829481,1.057498,5
centrist,A,13,0.278253,0.892928,0.829481,1.057498,5
centrist,C_CN,13,0.746434,0.999681,0.829481,1.057498,5
centrist,C_CN_ADV,13,0.278253,0.892928,0.829481,1.057498,5
centrist,C_PP,13,0.746434,0.999681,0.829481,1.057498,5
centrist,C_PP_ADV,13,0.227848,0.881434,0.829481,1.057498,5
centrist,D,13,1.000000,1.057498,0.829481,1.057498,5
centrist,Z,14,0.000000,0.778291,0.829481,1.057498,4
centrist,A,14,0.278253,0.892928,0.829481,1.057498,4
centrist,C_CN,14,0.746434,0.999681,0.829481,1.057498,4
centrist,C_CN_ADV,14,0.746434,0.999681,0.829481,1.057498,4
centrist,C_PP,14,0.746434,0.999681,0.829481,1.057498,4
centrist,C_PP_ADV,14,0.227848,0.881434,0.829481,1.057498,4
centrist,D,14,1.000000,1.057498,0.829481,1.057498,4
centrist,Z,15,0.000000,0.711174,0.829481,1.057498,5
centrist,A,15,0.278253,0.892928,0.829481,1.057498,5
centrist,C_CN,15,0.746434,0.999681,0.829481,1.057498,5
centrist,C_CN_ADV,15,0.278253,0.892928,0.829481,1.057498,5
centrist,C_PP,15,0.746434,0.999681,0.829481,1.057498,5
centrist,C_PP_ADV,15,0.227848,0.881434,0.829481,1.057498,5
centrist,D,15,1.000000,1.057498,0.829481,1.057498,5
centrist,Z,16,0.227848,0.881434,0.829481,1.057498,5
centrist,A,16,0.278253,0.892928,0.829481,1.057498,5
centrist,C_CN,16,0.746434,0.999681,0.829481,1.057498,5
centrist,C_CN_ADV,16,0.278253,0.892928,0.829481,1.057498,5
centrist,C_PP,16,0.746434,0.999681,0.829481,1.057498,5
centrist,C_PP_ADV,16,0.227848,0.881434,0.829481,1.057498,5
centrist,D,16,1.000000,1.057498,0.829481,1.057498,5
centrist,Z,17,0.370286,0.913913,0.829481,1.057498,5
centrist,A,17,0.278253,0.892928,0.829481,1.057498,5
centrist,C_CN,17,0.746434,0.999681,0.829481,1.057498,5
centrist,C_CN_ADV,17,0.278253,0.892928,0.829481,1.057498,5
centrist,C_PP,17,0.746434,0.999681,0.829481,1.057498,5
centrist,C_PP_ADV,17,0.227848,0.881434,0.829481,1.057498,5
centrist,D,17,1.000000,1.057498,0.829481,1.057498,5
centrist,Z,18,0.278253,0.892928,0.829481,1.057498,4
centrist,A,18,0.278253,0.892928,0.829481,1.057498,4
centrist,C_CN,18,0.746434,0.999681,0.829481,1.057498,4
centrist,C_CN_ADV,18,0.746434,0.999681,0.829481,1.057498,4
