spillover_config,condition,trial,gap_fraction,G_achieved,G_random,G_oracle
centrist,C_PP,18,0.026893,0.846231,0.840460,1.055062
centrist,D,18,1.000000,1.055062,0.840460,1.055062
centrist,Z,19,-0.262237,0.784183,0.840460,1.055062
centrist,A,19,0.083802,0.858444,0.840460,1.055062
centrist,C_CN,19,0.138342,0.870148,0.840460,1.055062
centrist,C_PP,19,0.138342,0.870148,0.840460,1.055062
centrist,D,19,1.000000,1.055062,0.840460,1.055062
centrist,Z,20,-0.275649,0.781305,0.840460,1.055062
centrist,A,20,0.213728,0.886326,0.840460,1.055062
centrist,C_CN,20,0.213728,0.886326,0.840460,1.055062
centrist,C_PP,20,0.213728,0.886326,0.840460,1.055062
centrist,D,20,1.000000,1.055062,0.840460,1.055062
centrist,Z,21,-0.230155,0.791068,0.840460,1.055062
centrist,A,21,0.157637,0.874289,0.840460,1.055062
centrist,C_CN,21,0.116635,0.865490,0.840460,1.055062
centrist,C_PP,21,0.116635,0.865490,0.840460,1.055062
centrist,D,21,1.000000,1.055062,0.840460,1.055062
centrist,Z,22,-0.004363,0.839523,0.840460,1.055062
centrist,A,22,0.373025,0.920512,0.840460,1.055062
centrist,C_CN,22,0.089553,0.859678,0.840460,1.055062
centrist,C_PP,22,0.373025,0.920512,0.840460,1.055062
centrist,D,22,1.000000,1.055062,0.840460,1.055062
centrist,Z,23,-0.129241,0.812724,0.840460,1.055062
centrist,A,23,0.166620,0.876217,0.840460,1.055062
centrist,C_CN,23,0.166620,0.876217,0.840460,1.055062
centrist,C_PP,23,0.166620,0.876217,0.840460,1.055062
centrist,D,23,1.000000,1.055062,0.840460,1.055062
centrist,Z,24,0.089516,0.859670,0.840460,1.055062
centrist,A,24,0.119991,0.866210,0.840460,1.055062
centrist,C_CN,24,0.142235,0.870984,0.840460,1.055062
centrist,C_PP,24,0.142235,0.870984,0.840460,1.055062
centrist,D,24,1.000000,1.055062,0.840460,1.055062
centrist,Z,25,-0.165124,0.805024,0.840460,1.055062
centrist,A,25,0.004540,0.841434,0.840460,1.055062
centrist,C_CN,25,0.000987,0.840671,0.840460,1.055062
centrist,C_PP,25,-0.165124,0.805024,0.840460,1.055062
