date,ticker,open,high,low,close
2021-06-14,AAPL,124.5928,127.2441,123.8617,127.1856
2021-06-14,AMD,81.51,81.55,80.2,81.55
2021-06-14,AMZN,167.3415,169.25,166.775,169.1935
2021-06-14,BAC,37.0273,37.0804,36.3283,36.5938
2021-06-14,COST,360.7618,363.784,359.1417,363.5756
2021-06-14,CSCO,47.1422,47.2635,46.3968,46.9515
2021-06-14,CVX,88.1148,88.7501,87.0152,87.9437
2021-06-14,DIS,173.5627,174.7546,172.8299,174.0805
2021-06-14,GOOGL,120.5441,121.3698,119.8374,121.3693
2021-06-14,GS,334.3696,335.5391,328.4075,330.3742
2021-06-14,HD,272.779,273.7767,270.3861,273.1234
2021-06-14,INTC,53.0949,53.2597,52.372,53.2505
2021-06-14,JNJ,142.9182,143.7523,142.3969,143.6741
2021-06-14,JPM,141.1407,141.2993,138.0649,138.8669
2021-06-14,KO,48.3432,48.3606,47.9178,48.2217
2021-06-14,MA,355.5101,356.122,351.7218,356.0151
2021-06-14,MCD,211.443,211.969,209.3302,211.2647
2021-06-14,META,329.3157,334.1974,327.242,334.1478
2021-06-14,MRK,65.2674,65.3191,64.5263,65.0175
2021-06-14,MSFT,247.5058,249.4732,246.4501,249.4156
2021-06-14,NFLX,48.968,50.35,48.691,49.989
2021-06-14,NVDA,17.8443,17.9773,17.6019,17.9566
2021-06-14,PEP,125.8749,126.865,125.2944,126.8138
2021-06-14,PFE,30.9807,31.0117,30.4777,30.6712
2021-06-14,PG,118.8474,118.8915,117.9494,118.7858
2021-06-14,SPY,396.4104,397.2883,395.1682,397.1856
2021-06-14,TSLA,204.0767,208.4967,203.06,205.8967
2021-06-14,UNH,364.6722,366.664,362.6804,366.3795
2021-06-14,V,226.0866,226.5876,223.0715,225.4894
2021-06-14,WMT,44.0721,44.0721,43.7906,43.9564
2021-06-14,XOM,51.8378,52.2372,51.2304,51.6464
2021-06-15,AAPL,126.6593,127.3026,126.1232,126.3669
2021-06-15,AMD,81.59,81.68,80.22,80.47
2021-06-15,AMZN,169.2,169.8495,168.1555,169.1565
2021-06-15,BAC,36.523,36.7707,36.1868,36.6203
2021-06-15,COST,363.5756,364.2766,361.4913,363.7177
2021-06-15,CSCO,47.0035,47.0815,46.5701,46.6221
2021-06-15,CVX,88.3021,89.9882,88.2858,89.8416
2021-06-15,DIS,174.0805,174.5886,171.5794,171.8139
2021-06-15,GOOGL,121.3737,121.6964,119.992,120.3523
