date,open,high,low,close,volume,symbol
2010-01-04,6.389117767973185,6.421148606782028,6.357685651373146,6.406480312347412,493729600,AAPL
2010-01-04,6.8125,6.83050012588501,6.6570000648498535,6.695000171661377,151998000,AMZN
2010-01-04,66.0,66.5,65.91999816894531,66.22000122070312,1575000,BRK-B
2010-01-04,15.551541208534095,15.615043108186686,15.48432052904267,15.54658031463623,78169752,GOOGL
2010-01-04,39.99335199216756,40.16640236917621,39.80794289477363,39.97481155395508,9506200,JNJ
2010-01-04,27.579643863679312,28.371593922376647,27.50044709553169,28.279197692871094,35460500,JPM
2010-01-04,22.781978411162147,23.139109009100743,22.75965721662442,23.02750587463379,38409100,MSFT
2010-01-04,0.4237482843789217,0.4262665161516094,0.4145911176280717,0.4232904314994812,800204000,NVDA
2010-01-04,40.16853150242773,40.30725282030277,40.11650976795818,40.246559143066406,62822800,QQQ
2010-01-04,83.86206395538726,84.62329045377957,83.22024296736411,84.5785140991211,118944600,SPY
2010-01-04,37.1448478374792,37.43673159014304,36.858370485015165,37.37727355957031,27809100,XOM
2010-01-05,6.424143184410481,6.45377913699936,6.383729831431048,6.417557239532471,601904800,AAPL
2010-01-05,6.671500205993652,6.77400016784668,6.590499877929688,6.734499931335449,177038000,AMZN
2010-01-05,66.38999938964844,66.58999633789062,66.1500015258789,66.54000091552734,1310000,BRK-B
2010-01-05,15.557245507956068,15.57361702343188,15.41734509939474,15.478116989135742,120067812,GOOGL
2010-01-05,39.91301838712834,39.93774054927881,39.44330673681004,39.51129150390625,10673100,JNJ
2010-01-05,28.239612463569024,28.932568081872677,28.23301147163369,28.82697486877441,41208300,JPM
2010-01-05,22.953106794830497,23.139112520203334,22.79686124757956,23.034948348999023,49749600,MSFT
2010-01-05,0.4216878270025537,0.4340500153896502,0.4216878270025537,0.4294714331626892,728648000,NVDA
2010-01-05,40.22054992952018,40.31592145569248,40.02113824178588,40.246559143066406,62935600,QQQ
2010-01-05,84.52625503641553,84.83970083964267,84.2202681614759,84.80238342285156,111579900,SPY
2010-01-05,37.39890550468541,37.5394389582162,37.18810120051301,37.523223876953125,30174700,XOM
2010-01-06,6.417558570419472,6.443003872134875,6.308892855483477,6.315478801727295,552160000,AAPL
2010-01-06,6.730000019073486,6.736499786376953,6.582499980926514,6.612500190734863,143576000,AMZN
2010-01-06,66.5,66.5,66.19999694824219,66.19999694824219,1760000,BRK-B
2010-01-06,15.52450452484136,15.52450452484136,15.040806008652105,15.087935447692873,158988852,GOOGL
2010-01-06,39.492749200249264,39.88829434547844,39.449486597342016,39.83266830444336,13171500,JNJ
2010-01-06,28.67518247682191,29.0975552952564,28.582788737481938,28.985361099243164,27729000,JPM
2010-01-06,22.97541527490724,23.124220349671305,22.70756812708643,22.893573760986328,58182400,MSFT
2010-01-06,0.4292426158906234,0.4331344064384202,0.4251218852498049,0.4322187006473541,649168000,NVDA
2010-01-06,40.229231329522285,40.35928073520301,39.94311668374451,40.00380706787109,96033000,QQQ
2010-01-06,84.72028409317747,85.07104729014362,84.65311957997358,84.8620834350586,116074400,SPY
2010-01-06,37.53942394320197,38.16102792754009,37.47996591976857,37.8475227355957,35044700,XOM
2010-01-07,6.338826386564105,6.346310414274597,6.258000486015009,6.303801536560059,477131200,AAPL
2010-01-07,6.600500106811523,6.616000175476074,6.440000057220459,6.5,220604000,AMZN
2010-01-07,66.19999694824219,66.51000213623047,66.13999938964844,66.45999908447266,1505000,BRK-B
2010-01-07,15.116211188694315,15.131094814516294,14.700726904316246,14.736693382263184,256315428,GOOGL
2010-01-07,39.70905968221587,39.77086272310311,39.393860401475145,39.548370361328125,10901600,JNJ
