condition,persona_config,adversarial,seed,winner,alliance_win,turns,vp_p1,vp_p2,vp_p3,vp_p4
a,default,False,0,P3,False,35,4,3,7,2
a,default,False,1,P4,False,56,5,3,6,7
a,default,False,2,P3,False,63,2,6,7,6
a,default,False,3,P1,True,49,7,3,6,6
a,default,False,4,P4,False,52,2,3,5,7
b,default,False,0,P1,True,29,7,2,5,2
b,default,False,1,P2,True,74,5,7,6,6
b,default,False,2,P4,False,36,6,2,3,7
b,default,False,3,P1,True,57,7,3,5,3
b,default,False,4,P4,False,32,4,4,3,7
c,default,False,0,P3,False,87,6,2,7,6
c,default,False,1,P4,False,56,4,2,4,7
c,default,False,2,P1,True,49,7,2,4,6
c,default,False,3,P1,True,29,7,2,3,4
c,default,False,4,P3,False,27,2,2,7,3
d,default,False,0,P4,False,48,5,3,5,7
d,default,False,1,P3,False,55,6,3,7,4
d,default,False,2,P1,True,17,7,2,4,4
d,default,False,3,P1,True,53,7,2,6,2
d,default,False,4,P3,False,39,2,2,7,5
