condition,persona_config,adversarial,seed,winner,alliance_win,turns,vp_p1,vp_p2,vp_p3,vp_p4
a,default,True,15,P4,False,48,3,3,3,7
a,default,True,16,P4,False,36,2,2,5,7
a,default,True,17,P3,False,59,2,2,7,5
a,default,True,18,P4,False,48,2,5,4,7
a,default,True,19,P4,False,92,4,5,3,7
a,default,True,20,P3,False,63,4,2,7,4
a,default,True,21,P3,False,51,5,2,7,4
a,default,True,22,P3,False,63,5,3,7,5
a,default,True,23,P3,False,39,2,2,7,3
a,default,True,24,P4,False,32,3,3,6,7
a,default,True,25,P4,False,48,3,3,5,7
a,default,True,26,P4,False,52,5,2,5,7
a,default,True,27,P1,True,49,7,2,5,3
a,default,True,28,P4,False,64,4,3,6,8
a,default,True,29,P1,True,33,7,2,3,3
a,sym_aggressive,True,0,P1,True,37,7,2,6,4
a,sym_aggressive,True,1,P3,False,27,2,3,7,3
a,sym_aggressive,True,2,P4,False,72,3,4,6,7
a,sym_aggressive,True,3,P4,False,64,4,6,5,7
a,sym_aggressive,True,4,P1,True,61,7,2,5,5
a,sym_aggressive,True,5,P3,False,47,4,2,7,2
a,sym_aggressive,True,6,P3,False,67,3,3,8,6
a,sym_aggressive,True,7,P3,False,43,5,2,7,4
a,sym_aggressive,True,8,P3,False,67,2,3,8,5
a,sym_aggressive,True,9,P3,False,39,2,2,7,6
a,sym_aggressive,True,10,P4,False,40,4,3,4,7
a,sym_aggressive,True,11,P1,True,41,8,2,3,2
a,sym_aggressive,True,12,P3,False,75,6,3,7,6
a,sym_aggressive,True,13,P3,False,51,3,4,7,3
a,sym_aggressive,True,14,P3,False,43,3,2,7,3
a,sym_aggressive,True,15,P1,True,45,7,2,5,2
a,sym_aggressive,True,16,P3,False,27,2,2,7,4
a,sym_aggressive,True,17,P4,False,44,2,5,3,7
a,sym_aggressive,True,18,P3,False,23,3,2,7,3
a,sym_aggressive,True,19,P4,False,60,3,3,6,7
a,sym_aggressive,True,20,P3,False,55,4,3,7,4
a,sym_aggressive,True,21,P4,False,20,2,2,3,7
a,sym_aggressive,True,22,P4,False,64,5,2,5,7
a,sym_aggressive,True,23,P2,True,58,3,7,4,4
a,sym_aggressive,True,24,P2,True,34,3,7,2,4
a,sym_aggressive,True,25,P1,True,49,7,4,5,3
a,sym_aggressive,True,26,P3,False,55,4,6,7,4
a,sym_aggressive,True,27,P4,False,72,6,5,5,7
a,sym_aggressive,True,28,P3,False,43,4,2,7,6
a,sym_aggressive,True,29,P3,False,91,5,4,7,6
a,sym_conservative,True,0,P3,False,47,6,5,7,5
a,sym_conservative,True,1,P4,False,80,6,2,6,7
a,sym_conservative,True,2,P4,False,96,3,4,6,7
a,sym_conservative,True,3,P3,False,63,6,5,7,5
a,sym_conservative,True,4,P3,False,55,3,4,7,5
a,sym_conservative,True,5,P3,False,55,6,2,7,3
a,sym_conservative,True,6,P3,False,51,3,5,7,5
a,sym_conservative,True,7,P4,False,24,4,2,3,7
a,sym_conservative,True,8,P3,False,47,5,4,7,6
a,sym_conservative,True,9,P4,False,52,3,2,3,7
a,sym_conservative,True,10,P4,False,76,4,3,6,7
a,sym_conservative,True,11,P3,False,71,2,6,7,5
a,sym_conservative,True,12,P3,False,51,5,2,7,5
a,sym_conservative,True,13,P4,False,36,4,3,4,7
a,sym_conservative,True,14,P3,False,79,3,4,7,6
a,sym_conservative,True,15,P1,True,29,7,2,4,5
a,sym_conservative,True,16,P4,False,60,4,4,6,7
a,sym_conservative,True,17,P1,True,69,7,2,3,5
a,sym_conservative,True,18,P3,False,47,6,2,7,5
a,sym_conservative,True,19,P3,False,63,3,3,7,6
a,sym_conservative,True,20,P1,True,45,7,3,5,4
a,sym_conservative,True,21,P3,False,55,6,3,7,6
a,sym_conservative,True,22,P3,False,39,4,2,7,5
a,sym_conservative,True,23,P3,False,51,4,2,7,4
a,sym_conservative,True,24,P4,False,80,2,6,6,7
a,sym_conservative,True,25,P3,False,55,5,4,7,3
a,sym_conservative,True,26,P1,True,45,7,2,5,4
a,sym_conservative,True,27,P4,False,52,5,4,5,7
a,sym_conservative,True,28,P3,False,47,4,3,7,5
a,sym_conservative,True,29,P3,False,55,4,4,7,4
b,default,False,0,P3,False,55,6,2,7,5
b,default,False,1,P1,True,37,7,4,4,3
b,default,False,2,P1,True,65,7,4,6,6
b,default,False,3,P3,False,43,5,3,7,2
b,default,False,4,P3,False,43,3,3,7,6
