sha,files,py_files,test_files,py_loc,a_added,a_deleted,a_py_added,a_py_deleted,a_py_ins,a_py_del
6421fa9815f17b9600d4c0683e5d358d3c1d45a9,23,9,2,1351,0,0,0,0,5,2
11ecc25867fff32a700e0cc797d99dda3270c20c,23,9,2,1357,0,0,0,0,9,3
92990c140023250ad0ab8661b42c7ddf4eb4e849,23,9,2,1357,0,0,0,0,1,1
43f3c125cfd53cc6d388f7a81f21378111ac0371,23,9,2,1357,0,0,0,0,0,0
7bf991423086eb4676528b7b94eacdade7368648,23,9,2,1357,0,0,0,0,0,0
c14ac72714c87922be084dc46af79f3105413daa,23,9,2,1357,0,0,0,0,0,0
e3ae449ed96b3b94c45965358a28bd6eaaaf5e7b,23,9,2,1357,0,0,0,0,0,0
39819150dd829a3ba60aa18bf498c2803fff7635,23,9,2,1357,0,0,0,0,1,1
f54e371a405aaf7a663ad787a8e8d08336603e3f,23,9,2,1348,0,0,0,0,4,13
f7924246724c4b3654bee6aab4d61b06eca6a965,23,9,2,1498,0,0,0,0,176,26
f7b5c017bc47e7c5695d668db2c71369e68f52b9,23,9,2,1498,0,0,0,0,1,1
a925102faf5200c5cf39e7bc2815f0137551af67,23,9,2,1498,0,0,0,0,0,0
74de61b914ec847f5f9fb5ef6f21217f313bed80,24,10,2,1671,1,0,1,0,437,264
2b39c903e07a8515439e0ee54e4d0bc6da153ad4,24,10,2,1671,0,0,0,0,1,1
1f4c1b6a3956e35ca3ed2d7dd3e2f1e02c3a3d13,24,10,2,1697,0,0,0,0,28,2
24e90bf307a03078a21986bf08665319ad8deeb4,24,10,2,1697,0,0,0,0,5,5
212f67b4cfbe81970a737d8b067436d20eb2df4f,24,10,2,1699,0,0,0,0,7,5
bc91e094853214b486bbd2acc87694812de55909,24,10,2,1731,0,0,0,0,33,1
6c1932a7166cf35dac6235bc317c94526681858d,24,10,2,1740,0,0,0,0,16,7
f27e315389cf58e44e77874b4236964a6f305176,25,11,3,1818,1,0,1,0,82,4
3af4c20ba087b820b57e94309436e4aec550126e,25,11,3,1818,0,0,0,0,2,2
9fc5a164345073e0918cb0f0f5c1d6a8056ce18f,25,11,3,1820,0,0,0,0,11,9
d5a8a76f060ce680ec190b8b735184d8c309f8b5,25,11,3,1822,0,0,0,0,3,1
613b5e1982f0ae108da50f5b31eb272a6a4b22ea,25,11,3,1947,0,0,0,0,131,6
1c48b745b0740758152f28201649e7c0f95ec56e,25,11,3,1947,0,0,0,0,9,9
4d26a6a69c07a58d2fb554ca29bceb053a0805e5,25,11,3,1947,0,0,0,0,0,0
f679d3d55f04ac21ff28abff9dbd579b6084ad92,25,11,3,1946,0,0,0,0,0,1
a34cc35e2b1699c27571505af77544b816812cf0,25,11,3,1946,0,0,0,0,1,1
4320ffbde3226f12492139a322bdac3e5be7c0e5,25,11,3,1946,0,0,0,0,0,0
f9a867f618676c1de45b173449a7de102e0f7501,25,11,3,1946,0,0,0,0,1,1
8264fb56cd74ffda885d1e332660a6b4bc2f854a,25,11,3,1948,0,0,0,0,6,4
68b2d2d6ce100ab92e94ced2146e53194e1a38ac,25,11,3,1946,0,0,0,0,6,8
d6ad58fe5ef7b1e838d8078963d9e890e32f3985,25,11,3,1946,0,0,0,0,1,1
